spieler_id,name,berechnet,fantasy,differenz,ok
2813,Kenny Agostino,-13.7,4.1,-17.8,PRUEFEN
1665,Eric Cornel,8.1,-0.8,8.9,PRUEFEN
507,Marcel Noebels,4.9,-2.4,7.3,PRUEFEN
122,Mathias Niederberger,10.8,4.0,6.8,PRUEFEN
500,Maximilian Franzreb,6.8,0.2,6.6,PRUEFEN
3567,Anthony Greco,8.9,2.6,6.3,PRUEFEN
3275,Tobias Rieder,8.7,2.4,6.3,PRUEFEN
3554,Matt Choupani,6.8,0.6,6.2,PRUEFEN
4319,Jakub Skarek,-0.8,-6.8,6.0,PRUEFEN
1435,Austin Ortega,4.4,-1.3,5.7,PRUEFEN
487,Matthias Plachta,7.5,2.0,5.5,PRUEFEN
3572,Patrick Russell,4.9,-0.6,5.5,PRUEFEN
597,Sebastian Uvira,3.7,-1.7,5.4,PRUEFEN
3578,Greg Meireles,9.1,3.8,5.3,PRUEFEN
2028,Skyler McKenzie,5.5,0.3,5.2,PRUEFEN
1799,Gregor MacLeod,4.9,-0.3,5.2,PRUEFEN
599,Niklas Treutle,17.4,12.2,5.2,PRUEFEN
4329,Lucas Thaler,5.9,1.0,4.9,PRUEFEN
4333,Jérémie Poirier,9.9,5.1,4.8,PRUEFEN
3411,Gabriel Fontaine,4.9,0.1,4.8,PRUEFEN
3584,Tommy Pasanen,4.1,-0.5,4.6,PRUEFEN
1611,Leon Gawanke,5.2,0.8,4.4,PRUEFEN
2113,Brady Austin,6.1,1.8,4.3,PRUEFEN
2121,Jean-Christophe Beaudin,3.2,-1.0,4.2,PRUEFEN
3410,Liam Kirk,14.0,9.9,4.1,PRUEFEN
104,Marcel Brandt,3.8,-0.3,4.1,PRUEFEN
4316,Spencer Kersten,6.7,2.6,4.1,PRUEFEN
4895,Jean-Luc Foudy,4.1,0.0,4.1,PRUEFEN
2411,Nicolas Mattinen,13.0,9.1,3.9,PRUEFEN
1459,Jonas Stettmer,-1.8,-5.6,3.8,PRUEFEN
4343,Stuart Percy,12.5,8.7,3.8,PRUEFEN
3429,Kristian Reichel,4.3,0.6,3.7,PRUEFEN
4157,Janne Juvonen,-14.6,-11.0,-3.6,PRUEFEN
4332,Patrick Brown,3.4,-0.1,3.5,PRUEFEN
546,Andreas Eder,3.1,-0.4,3.5,PRUEFEN
3426,Taro Hirose,5.6,2.1,3.5,PRUEFEN
59,Stefan Loibl,5.4,2.0,3.4,PRUEFEN
4349,Austin Magera,7.9,4.6,3.3,PRUEFEN
27,Mirko Höfflin,6.3,3.0,3.3,PRUEFEN
1704,Roman Kechter,5.9,2.8,3.1,PRUEFEN
2689,Andy Miele,1.2,4.2,-3.0,PRUEFEN
3442,Samuel Dove-McFalls,3.1,6.1,-3.0,PRUEFEN
3585,Matthew Wedman,7.4,10.4,-3.0,PRUEFEN
506,Jonas Müller,8.4,5.5,2.9,PRUEFEN
3600,C.J. Suess,5.1,2.2,2.9,PRUEFEN
1540,Filip Varejcka,4.2,1.3,2.9,PRUEFEN
1795,Christian Wejse,8.7,5.8,2.9,PRUEFEN
4260,Markus Ljungh,2.2,5.1,-2.9,PRUEFEN
2468,Maksim Matushkin,8.4,5.5,2.9,PRUEFEN
3950,Mathew Santos,-5.4,-2.6,-2.8,PRUEFEN
1476,Tim Brunnhuber,0.0,-2.8,2.8,PRUEFEN
1547,Kristers Gudlevskis,8.4,11.2,-2.8,PRUEFEN
3445,Owen Headrick,6.4,3.6,2.8,PRUEFEN
1339,Phillip Bruggisser,1.8,4.5,-2.7,PRUEFEN
1585,Max Görtz,3.8,1.1,2.7,PRUEFEN
1790,Maxim Rausch,2.9,0.2,2.7,PRUEFEN
1364,Markus Eisenschmid,4.1,1.4,2.7,PRUEFEN
2835,Thomas Schemitsch,2.1,-0.6,2.7,PRUEFEN
4312,Jack LaFontaine,-1.4,1.2,-2.6,PRUEFEN
1425,Eric Mik,7.5,5.0,2.5,PRUEFEN
4315,Joseph Duszak,1.8,-0.7,2.5,PRUEFEN
442,Daniel Schmölz,0.2,-2.2,2.4,PRUEFEN
92,Leonhard Pföderl,1.6,-0.8,2.4,PRUEFEN
2801,Nikolaus Heigl,5.5,3.1,2.4,PRUEFEN
554,Brooks Macek,4.6,2.3,2.3,PRUEFEN
1738,Korbinian Geibel,3.6,1.3,2.3,PRUEFEN
1987,Davis Vandane,8.4,6.1,2.3,PRUEFEN
3550,Nicholas Halloran,3.7,1.4,2.3,PRUEFEN
4318,Jamieson Rees,3.3,1.0,2.3,PRUEFEN
4251,Robin Press,7.5,5.2,2.3,PRUEFEN
1404,Justin Schütz,7.1,4.9,2.2,PRUEFEN
2209,Ty Ronning,14.5,12.3,2.2,PRUEFEN
3446,Jeremy McKenna,3.7,1.5,2.2,PRUEFEN
2916,Linus Fröberg,5.5,3.3,2.2,PRUEFEN
88,Oliver Mebus,2.6,0.5,2.1,PRUEFEN
2834,Keaton Thompson,8.8,6.7,2.1,PRUEFEN
885,Justin Feser,0.2,-1.8,2.0,PRUEFEN
1587,Julian Melchiori,11.2,9.2,2.0,PRUEFEN
3122,Robin Veber,2.0,0.0,2.0,PRUEFEN
3443,William Graber,5.4,7.4,-2.0,PRUEFEN
143,Nicolas Krämmer,2.3,4.3,-2.0,PRUEFEN
2384,Ludwig Byström,4.7,2.7,2.0,PRUEFEN
4171,C.J. Smith,2.4,4.3,-1.9,PRUEFEN
1678,Kevin Niedenz,3.6,5.5,-1.9,PRUEFEN
139,Patrick Hager,1.9,0.0,1.9,PRUEFEN
551,Maximilian Kastner,0.0,1.9,-1.9,PRUEFEN
2881,Abbott Girduckis,-6.6,-4.8,-1.8,PRUEFEN
4331,Emil Kvernmo Wasenden,2.2,0.4,1.8,PRUEFEN
931,Philip Gogulla,4.3,6.1,-1.8,PRUEFEN
3931,Zack Dybowski,-1.9,-0.1,-1.8,PRUEFEN
4140,Tanner Kero,-2.8,-1.0,-1.8,PRUEFEN
4342,Juha Jatkola,1.8,0.0,1.8,PRUEFEN
1811,Mario Zimmermann,2.3,0.5,1.8,PRUEFEN
3309,Moritz Warnecke,6.0,4.2,1.8,PRUEFEN
1666,Julius Karrer,6.0,4.2,1.8,PRUEFEN
3579,Tyler Spezia,6.2,4.4,1.8,PRUEFEN
528,Björn Krupp,4.7,6.5,-1.8,PRUEFEN
1750,Leon Hüttl,5.0,3.3,1.7,PRUEFEN
1755,Luis Schinko,10.8,12.5,-1.7,PRUEFEN
1846,Tyler Gaudet,12.6,10.9,1.7,PRUEFEN
4149,Akito Hirose,3.8,5.5,-1.7,PRUEFEN
3434,Veli-Matti Vittasmäki,0.8,-0.9,1.7,PRUEFEN
252,Daniel Pietta,0.4,2.0,-1.6,PRUEFEN
3428,Tobias Fohrler,0.2,-1.3,1.5,PRUEFEN
512,Kai Wissmann,1.6,0.1,1.5,PRUEFEN
1328,Morgan Ellis,-2.5,-1.1,-1.4,PRUEFEN
2833,Lester Lancaster,1.7,0.3,1.4,PRUEFEN
2191,Rayan Bettahar,0.2,-1.2,1.4,PRUEFEN
3432,Juhani Tyrväinen,-1.4,-2.8,1.4,PRUEFEN
3533,Adam Smith,4.1,2.8,1.3,PRUEFEN
1674,Yannick Proske,-1.3,0.0,-1.3,PRUEFEN
2020,Josef Eham,-3.3,-2.0,-1.3,PRUEFEN
1397,Daniel Pfaffengut,5.5,4.2,1.3,PRUEFEN
3704,Peter Abbandonato,3.0,1.8,1.2,PRUEFEN
1762,Yannick Veilleux,-0.6,0.6,-1.2,PRUEFEN
1796,Markus Vikingstad,0.2,-1.0,1.2,PRUEFEN
928,Mick Köhler,-2.0,-0.8,-1.2,PRUEFEN
1350,Adam Payerl,-2.4,-3.6,1.2,PRUEFEN
