spieler_id,name,team,pos,preis,dt_pass,aktiv,gewaehlt_pct,spiele,summe,schnitt,schnitt_l5,toi_min,toi_min_l3,pp_min_l3,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,ST34,ST35,ST36,ST37,ST38,ST39,ST40,ST41,ST42,ST43,ST44,ST45,ST46,ST47,ST48,ST49,ST50,ST51,ST52
599,Niklas Treutle,Nürnberg Ice Tigers,goal,2,ja,ja,15.1,4,19.2,4.8,4.8,,,,7.4,4.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,
3555,Robert Lynch,Grizzlys Wolfsburg,for,3,nein,ja,17.7,3,16.6,5.53,5.53,19.5,19.5,1.9,12.5,3.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,Tyler Spezia,Nürnberg Ice Tigers,for,3,nein,ja,5.1,4,15.1,3.77,3.77,17.7,18.1,3.0,-0.1,4.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,
2411,Nicolas Mattinen,Adler Mannheim,def,5,nein,ja,38.5,4,15.0,3.75,3.75,25.4,25.2,2.1,3.1,6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2209,Ty Ronning,Eisbären Berlin,for,5,nein,ja,49.4,3,14.5,4.83,4.83,21.9,21.9,4.4,7.2,5.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,Liam Kirk,Eisbären Berlin,for,5,nein,ja,34.7,3,14.0,4.67,4.67,20.7,20.7,4.4,5.4,4.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3562,Max Calce,Adler Mannheim,for,1,ja,ja,38.6,4,13.6,3.4,3.4,12.8,12.0,0.7,3.2,2.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,
4349,Austin Magera,Nürnberg Ice Tigers,for,2,nein,ja,9.9,4,13.2,3.3,3.3,15.5,15.4,2.6,-0.6,5.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,
1846,Tyler Gaudet,Grizzlys Wolfsburg,for,4,nein,ja,5.4,3,12.6,4.2,4.2,19.7,19.7,1.4,9.8,1.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343,Stuart Percy,Krefeld Pinguine,def,3,nein,ja,7.5,3,12.5,4.17,4.17,22.2,22.2,1.7,2.7,6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4338,Adam Scheel,Löwen Frankfurt,goal,2,nein,ja,7.6,2,12.4,6.2,6.2,,,,13.6,-1.2,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,Greg Meireles,Nürnberg Ice Tigers,for,2,nein,ja,2.7,4,12.1,3.02,3.02,18.1,17.9,3.1,0,3.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
1863,Thomas Heigl,Nürnberg Ice Tigers,for,4,ja,ja,7.8,4,12.1,3.02,3.02,14.8,14.6,2.4,5.7,4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,
4333,Jérémie Poirier,Adler Mannheim,def,3,nein,ja,15.2,4,12.0,3.0,3.0,17.9,18.1,0.0,4,1.1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
3430,Eric Jonathan Uba,Löwen Frankfurt,for,2,ja,ja,14.9,3,11.7,3.9,3.9,13.9,13.9,2.4,8.3,4.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Spencer Machacek,Grizzlys Wolfsburg,for,4,nein,ja,6.5,2,11.4,5.7,5.7,17.9,17.9,2.2,9.3,2.1,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Julian Melchiori,Grizzlys Wolfsburg,def,4,nein,ja,7.7,3,11.2,3.73,3.73,22.5,22.5,0.0,5,4.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,Alec McCrea,Augsburger Panther,def,3,nein,ja,3.9,3,10.9,3.63,3.63,20.4,20.4,0.0,1.6,4.8,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,Kyle Mayhew,Augsburger Panther,def,4,nein,ja,3.4,3,10.8,3.6,3.6,24.1,24.1,1.4,2,3.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
